"","text"
"74","rt ozzymanreviews staircase like us election battleground state ay uf crank ya sound ozzyman ozzymanreviews parentsvsstairs…"
"75","rachellevine assistant heath secretary gets uselection joebiden covid covidsecondwave… httpstcoqhkgzqth"
"76","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"77","uselection trump attempted coup month leading capitol riot ny times ufeufeufe… httpstcowrfzcrtyou"
"78"," uselection media pundits talking political polarization us re… httpstconrznyejalk"
"79","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"80"," go live bro richiebrave xtra join discussion ’re talking things uselection … httpstcolpyvxsw"
"81"," made story people situations like ’s called ‘ emperor’s clothes’ politicslive… httpstcoxvtdm"
"82","rt aseemarora eyes michigan now uf uselection"
"83","excited share latest addition etsy shop mens cultivator zip hoodie httpstcowwodxooko… httpstcominmqlxyj"
"84","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"85","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"86","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"87","rt orphansliberty orphans liberty newsless time let’s look national uselection httpstcosntfhsvv"
"88","orphans liberty newsless time let’s look national uselection httpstcosntfhsvv"
"89","someone said feel like ’ve just released hostage situation ’s like hos… httpstcoqmnzspwg"
"90","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"91","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"92","controversy slvseng even local wildlife belated affected uselection uf litt… httpstcodsqsnwbtor"
"93","rt hjaltshul thejeremyvine decide give platform nigel farage today bbcradio talk uselection …"
"94","rt millenniumtv half way january already feels like ’s time reset election uselection bide…"
"95","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"96","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"97","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"98","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"99","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"100"," various institutions media judiciary legislature states looked th… httpstcokqppprgeli"
"101","pluto returns position usas birth chart years signify mean coun… httpstcoxnsvqgpwv"
"102","biden became president million million dollars distributed anonymous people suppo… httpstcoxwvfem"
"103","chuckgrassley one stopping u ur trumpie preaching ur crap ideology streetcorner u desire ole… httpstcobnbtvxqbk"
"104","rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos"
"105","uff prior uselection inauguration biden perceived soft china latest s… httpstcokbphvxdr"
"106"," majority necessarily always right case even ’re majority can’t denied… httpstcothcghhc"
"107","ritapanahi america everything deserves vote stupid choices get stupid prizes uselection"
"108","rt jonathan troops dc just virtual inauguration something else planned trump uselection…"
"109","rt ronbousso found thinking book lot recent weeks sinclair lewis thought happen us …"
"110"," found thinking book lot recent weeks sinclair lewis thought happen us … httpstcoxkbktkwxgc"
